Country,Medical Facilities,Population,"Density Med Fac (100,000 pop)"
Angola,1575,36684202,4.293401284836453
Burundi,665,13238559,5.023205320156068
Cameroon,3061,28647293,10.685128259762623
Central African Republic,555,5742315,9.665091517967928
Chad,1283,18278568,7.019149421333224
Democratic Republic of the Congo,14586,102262808,14.263250037100487
Republic of the Congo,328,6106869,5.371001080913968
Equatorial Guinea,47,1714671,2.741050615540824
Gabon,542,2436566,22.24442104174482
Rwanda,572,14094683,4.058267929828574
